fips,variable,value,source_dataset
05069,pct_clay,27.0447013007385,SoilGrids
05071,pct_clay,23.3742014119484,SoilGrids
05073,pct_clay,29.0869814027391,SoilGrids
05075,pct_clay,22.0772097383747,SoilGrids
05077,pct_clay,22.1361501674981,SoilGrids
05079,pct_clay,27.0947179605972,SoilGrids
05081,pct_clay,27.7979458474632,SoilGrids
05083,pct_clay,23.049430381484,SoilGrids
05085,pct_clay,26.0756114562117,SoilGrids
05087,pct_clay,25.8230912417498,SoilGrids
05089,pct_clay,26.1176880798189,SoilGrids
05091,pct_clay,28.7302048320913,SoilGrids
05093,pct_clay,24.4108908829504,SoilGrids
05095,pct_clay,26.7279700982957,SoilGrids
05097,pct_clay,24.311832221562,SoilGrids
05099,pct_clay,23.156419962013,SoilGrids
05101,pct_clay,25.1303089507248,SoilGrids
05103,pct_clay,20.1779077029689,SoilGrids
05105,pct_clay,23.5217448101977,SoilGrids
05107,pct_clay,25.2117187829032,SoilGrids
05109,pct_clay,21.3597342977556,SoilGrids
05111,pct_clay,24.6334107297204,SoilGrids
05113,pct_clay,24.0367577619706,SoilGrids
05115,pct_clay,21.6795268465952,SoilGrids
05117,pct_clay,25.9182051894973,SoilGrids
05119,pct_clay,24.8462721629275,SoilGrids
05121,pct_clay,20.8160774831383,SoilGrids
05123,pct_clay,25.4143892635142,SoilGrids
05125,pct_clay,21.2752663429747,SoilGrids
05127,pct_clay,24.4217209986554,SoilGrids
05129,pct_clay,25.26234308106,SoilGrids
05131,pct_clay,24.2167249546455,SoilGrids
05133,pct_clay,23.89716017337,SoilGrids
05135,pct_clay,23.1575271446687,SoilGrids
05137,pct_clay,23.9488131608195,SoilGrids
05139,pct_clay,23.203724210319,SoilGrids
05141,pct_clay,22.6625182848886,SoilGrids
05143,pct_clay,25.5032412977442,SoilGrids
05145,pct_clay,24.5794063953479,SoilGrids
05147,pct_clay,24.759540306359,SoilGrids
05149,pct_clay,22.2498215520349,SoilGrids
06001,pct_clay,30.6160482466833,SoilGrids
06003,pct_clay,10.877082440885,SoilGrids
06005,pct_clay,21.8726830545198,SoilGrids
06007,pct_clay,28.5034025096378,SoilGrids
06009,pct_clay,24.0411086044783,SoilGrids
06011,pct_clay,32.8039335864564,SoilGrids
06013,pct_clay,30.4185466449023,SoilGrids
06015,pct_clay,24.2184220636455,SoilGrids
06017,pct_clay,21.6814383926231,SoilGrids
06019,pct_clay,24.8034527032561,SoilGrids
06021,pct_clay,28.3528005906147,SoilGrids
06023,pct_clay,23.5951919871712,SoilGrids
06025,pct_clay,31.3509089904053,SoilGrids
06027,pct_clay,14.1694189051715,SoilGrids
06029,pct_clay,19.4514442542943,SoilGrids
06031,pct_clay,26.0963893116514,SoilGrids
06033,pct_clay,26.3224623459819,SoilGrids
06035,pct_clay,22.1324551206448,SoilGrids
06037,pct_clay,19.5008252627469,SoilGrids
06039,pct_clay,20.999786402627,SoilGrids
06041,pct_clay,28.0543424330572,SoilGrids
06043,pct_clay,24.8911417245074,SoilGrids
06045,pct_clay,24.5432179886659,SoilGrids
06047,pct_clay,24.529083245529,SoilGrids
06049,pct_clay,21.7386313475997,SoilGrids
06051,pct_clay,14.1882718207928,SoilGrids
06053,pct_clay,24.1557562005247,SoilGrids
06055,pct_clay,25.4949504668804,SoilGrids
06057,pct_clay,23.0321858423867,SoilGrids
06059,pct_clay,25.0325512589828,SoilGrids
06061,pct_clay,23.2848299714296,SoilGrids
06063,pct_clay,19.4995860282821,SoilGrids
06065,pct_clay,22.8456016159195,SoilGrids
06067,pct_clay,27.9576318713409,SoilGrids
06069,pct_clay,29.3828759918546,SoilGrids
06071,pct_clay,16.2299660890118,SoilGrids
06073,pct_clay,22.5362710125404,SoilGrids
06077,pct_clay,27.0047617640756,SoilGrids
06079,pct_clay,25.6624525529509,SoilGrids
06081,pct_clay,24.2394683518837,SoilGrids
06083,pct_clay,23.5805627564369,SoilGrids
06085,pct_clay,27.5261720619337,SoilGrids
06087,pct_clay,23.9090686896017,SoilGrids
06089,pct_clay,23.5510198749772,SoilGrids
06091,pct_clay,19.7861896314745,SoilGrids
06093,pct_clay,20.662350179348,SoilGrids
06095,pct_clay,30.6360588786793,SoilGrids
06097,pct_clay,26.3108762281854,SoilGrids
06099,pct_clay,24.0409622232237,SoilGrids
06101,pct_clay,30.9854719572276,SoilGrids
06103,pct_clay,23.4273769859319,SoilGrids
06105,pct_clay,19.0663424278989,SoilGrids
06107,pct_clay,17.0425270655836,SoilGrids
06109,pct_clay,22.7771201085678,SoilGrids
06111,pct_clay,25.6943396762666,SoilGrids
06113,pct_clay,31.5357188031961,SoilGrids
06115,pct_clay,24.0108522253488,SoilGrids
08001,pct_clay,24.4786100792216,SoilGrids
08003,pct_clay,22.940354807545,SoilGrids
08005,pct_clay,23.802505088105,SoilGrids
08007,pct_clay,23.7862190030269,SoilGrids
08009,pct_clay,25.9200100031254,SoilGrids
08011,pct_clay,25.9432608907164,SoilGrids
08013,pct_clay,26.1914015647577,SoilGrids
08014,pct_clay,26.5956135832627,SoilGrids
08015,pct_clay,20.0164005269803,SoilGrids
08017,pct_clay,23.44669666609,SoilGrids
08019,pct_clay,11.9661783488744,SoilGrids
08021,pct_clay,22.5333763478455,SoilGrids
08023,pct_clay,19.2348335995689,SoilGrids
08025,pct_clay,24.934544362183,SoilGrids
08027,pct_clay,20.4717770287663,SoilGrids
08029,pct_clay,25.6497130076813,SoilGrids
08031,pct_clay,24.5872012904963,SoilGrids
08033,pct_clay,23.6954833492707,SoilGrids
08035,pct_clay,23.8910426332534,SoilGrids
08037,pct_clay,22.8881168821755,SoilGrids
08039,pct_clay,22.9146541282311,SoilGrids
08041,pct_clay,21.4341052020698,SoilGrids
08043,pct_clay,22.1345270643805,SoilGrids
08045,pct_clay,23.7417387355735,SoilGrids
08047,pct_clay,12.8737378021652,SoilGrids
08049,pct_clay,21.0800840694367,SoilGrids
08051,pct_clay,23.5760034338292,SoilGrids
08053,pct_clay,17.7291345879204,SoilGrids
08055,pct_clay,22.564759514216,SoilGrids
